sizeA	sizeB	time
10x10	10x10	0.000016
20x20	20x20	0.000058
50x50	50x50	0.000847
100x100	100x100	0.003993
150x150	150x150	0.008859
200x200	200x200	0.016398
250x250	250x250	0.029273
500x500	500x500	0.215635
750x750	750x750	1.232844
1000x1000	1000x1000	2.097116
1500x1500	1500x1500	8.720709
2000x2000	2000x2000	17.337703
