sizeA	sizeB	time
10x10	10x10	0.000027
20x20	20x20	0.000268
50x50	50x50	0.000745
100x100	100x100	0.001700
150x150	150x150	0.004629
200x200	200x200	0.008199
250x250	250x250	0.028388
500x500	500x500	0.090938
750x750	750x750	0.304465
1000x1000	1000x1000	0.733739
1500x1500	1500x1500	3.535861
2000x2000	2000x2000	8.474898
